region;iso;porcentaje
UE-27;EU;26.1
Bélgica;BEL;23.8
Bulgaria;BGR;24.3
Rep. Checa;CZE;14.6
Dinamarca;DNK;8.8
Alemania;DEU;28.4
Estonia;EST;4.7
Irlanda;IRL;30.2
Grecia;GRC;26.5
España;ESP;26.8
Francia;FRA;30.1
Croacia;HRV;20.9
Italia;ITA;32.2
Chipre;CYP;36.7
Letonia;LVA;13.4
Lituania;LTU;11.9
Luxemburgo;LUX;38.3
Hungría;HUN;10.8
Malta;MLT;45.0
Países Bajos;NLD;40.0
Austria;AUT;32.8
Polonia;POL;17.8
Portugal;PRT;24.4
Rumanía;ROU;18.6
Eslovenia;SVN;5.9
Eslovaquia;SVK;11.1
Finlandia;FIN;22.8
Suecia;SWE;24.8
Noruega;NOR;19.9
Suiza;CHE;31.2
Serbia;SRB;15.9
Montenegro;MNE;18.9
